8545513,6435725,1
119062,230188,1
973137,839787,1
119062,839787,1
2516188,839787,25
973137,1835150,1
2516188,1835150,25
973137,2846388,1
119062,2846388,1
2516188,2846388,25
973137,3690937,1
2516188,3695700,25
119062,2679700,9
973137,4706937,1
119062,4706937,1
2516188,4706937,25
119062,4538662,9
119062,6443662,1
119062,6111488,17
119062,612775,1
6675436,612775,1
973137,612775,1
2516188,612775,1
119062,803275,9
6550025,3527425,1
7497761,3208338,25
6838950,839787,1
6838950,1835150,1
6838950,2846388,1
6838950,3695700,1
6838950,4706937,1
