269,1,1
844983,1134940,1
892174,2512043,1
3128963,1883845,1
3128963,1192212,1
5453062,1883845,1
5453062,1192212,1
6872288,1883585,1
6872288,1204912,1
946150,5045075,9
946150,4522787,9
5726800,2057400,1
5726800,3097777,1
5726800,3604486,1
5726800,5108575,1
7164920,2057400,1
5726800,2591067,1
7164920,2591067,1
7164920,3097777,1
7164920,3604486,1
5726800,4617908,1
7164920,4617908,1
7164920,5108575,1
5726800,4111197,1
7164920,4111197,1
946150,4025105,9
946150,3517900,9
946150,3010693,9
946150,2503488,9
174945,237215,1
7530741,407987,1
7530741,682625,1
3060699,1917700,24-58
946150,2139950,1
946150,3049588,1
946150,2540000,1
946150,5187950,1
946150,4568825,1
946150,4059237,1
946150,3554412,1
7270788,418973,1
7270788,694330,1
174945,5773590,17
174945,6607227,1
174943,27536,1
8710727,240787,13
