119062,875056,1
6181183,4225888,1
6881458,1697562,1
6881458,4245192,1
7912486,1697562,1
7912486,4223947,1
7642941,672847,1
7708111,672847,1
7860231,661075,17
8257416,672847,1
8257416,672847,1
8474708,661075,17
1536095,1469177,1
3042003,1469177,1
1536095,2985935,1
3042003,2985935,1
2453054,4547811,17
1308554,4324456,17
4425844,4552486,17
805760,2923352,17
1533079,4552486,17
1295079,1486845,17
1536094,2735408,5
2420691,1469177,5
4095375,1610386,17
2903108,2916839,17
1826223,4041183,17
5155029,1637220,1
5155029,1637220,1
5164177,3440296,1
5282022,3441298,5
5155029,4778974,1
6410369,1637220,1
6419513,3440296,1
6537356,3441298,5
6461037,4778974,17
4609536,4433044,9
4609536,2995478,9
5002957,1206774,17
5002957,1409908,9
5912280,1022109,17
5912280,1409908,9
7267688,1206774,17
7267688,1409908,9
7267689,1671888,17
7267689,3488713,17
7267689,4778974,17
1651831,4798495,25
232468,2422019,25
119064,230188,17
