0,0,1
0,0,1
223838,230189,1
224227,229888,1
3763962,1012827,1
3802064,3262314,1
3763962,1012825,1
117475,6458794,1
207964,1012827,1
207964,1012825,1
306389,5772150,17
387350,3740150,1
306389,3279775,17
735015,1657351,13
927386,1919714,13
3814762,1851026,1
5209769,1851026,25
3814762,2405065,1
5210175,2405065,25
3829051,3327401,1
5210795,3327401,25
5210175,1601787,17
5210176,1795463,9
3892550,2389188,9
3892550,3230565,9
3892550,4514851,9
207964,760412,5
735015,4149726,13
5210176,5106987,25
3829051,5106987,1
8329614,2024065,1
8193089,1601787,17
8193089,1795463,9
3892550,3759201,9
3829051,3846512,1
5210795,3846512,25
3814762,4587875,1
5209769,4587875,25
3892550,5045076,9
6397626,5734051,1
