0,0,1
121488,211245,1
2406650,3688943,9
2768600,4762093,9
2038350,2615794,9
1612900,1726794,24-58
149225,5424082,1
2084388,5424082,1
149225,4228693,1
149225,3155544,1
149225,2204631,1
122239,1732855,9
122237,1235368,17
4417135,1235368,17
4417135,1732851,9
4417135,1783944,25
121488,6572245,1
121488,2945994,9
121488,3986488,9
121488,4992273,9
2839840,4254093,1
2839840,5373282,1
4417135,4077882,25
4417135,5442737,25
7413258,859133,1
7081470,809835,1
7398970,484449,1
7081470,435151,1
3576048,4254093,1
3576048,5373282,1
121487,6133339,1
