174945,237215,1
174945,6595236,1
174945,6155556,17
174943,27536,1
6985295,585327,17
7573081,637152,17
7389796,1058089,1
211096,1058089,1
5406183,1068708,1
1942110,1110916,1
4343534,1110916,1
6032698,1110916,1
2324804,119161,5
4468162,542268,5
6178163,542268,5
1171509,2428213,1
3737976,2428213,1
3197344,1211346,5
6215176,2550770,5
275513,1481171,1
275514,2428213,1
275514,3497184,1
2413017,2258149,1
7389796,1058089,17
7473594,1168337,17
5583806,2429939,1
6284910,2023168,1
5856678,2023402,1
2414480,2044863,9
1171509,3858371,1
5436267,3858371,1
275514,3858371,1
3737976,3858371,1
1942110,2541484,17
4093698,2541484,17
5804201,2541484,17
2650674,1808670,1
1795305,1809037,1
4574792,2022786,1
4147291,2022786,1
1193469,3497183,1
5475835,3497183,1
5285373,2050407,5
5526659,2050407,5
1275455,1958024,1
6086300,1958024,1
2882975,1481171,1
1171509,1481171,1
3737976,1481171,1
4592978,1481171,1
6304441,1481171,1
5447977,1481171,1
2027244,1481171,1
211096,4625597,25
5481871,4625597,25
7473594,1482409,25
8710727,240787,13
