8545513,6435725,1
0,0,1
119062,4464050,1
3049588,4464050,1
5948362,4464050,1
119062,2889250,1
3049588,2889250,1
5948362,2889250,1
153987,3452812,24-52
754062,4160837,1
301625,4160837,1
3100388,3632200,24-52
3248025,4159250,1
3700462,4159250,1
3708400,3843337,1
3255962,3871912,1
5307012,3632200,24-53
5448300,3652837,1
4873625,3848100,1
4873625,3676650,1
5397500,4159250,1
5476875,3529012,1
5049837,3529012,1
8210550,3695700,24-53
8237538,4010025,9
7767638,3948112,1
7767638,3776662,1
8281988,4264025,1
8361363,3592512,1
7943850,3592512,1
8361363,4040187,1
8332788,3849687,1
2347913,3632200,24-53
1905000,3884612,1
1905000,3713162,1
2409825,4159250,1
2489200,3529012,1
2081213,3529012,1
2460625,3748087,1
4713287,554037,1
119062,554037,1
119062,1778000,1
119062,1778000,1
193675,1804989,1
193675,1978025,25
193675,877887,25
119062,557212,1
4713287,557212,1
119062,230188,1
3414712,831850,24-5
3090863,1176337,1
3489325,1098550,1
4221162,1331912,1
3929062,1254125,1
7643813,376238,1
7643813,190501,1
7456488,163512,1
7530307,163512,5
7459663,347663,1
7459663,347663,1
4784725,689689,1
2881313,689689,1
193675,689689,1
119062,2876550,1
193675,2903538,1
3049588,2876550,1
3084513,2903538,1
5948362,2876550,1
5983287,2903538,1
7237413,3760787,1
1420812,3760787,1
1387475,3221460,1
1381125,3373437,9
1833561,3116914,1
1833561,3373437,9
182562,3116914,1
182562,3373437,9
4303712,3223048,1
4297362,3373437,9
4749800,3116914,1
4749800,3373437,9
3098800,3116914,1
3098800,3373437,9
7202488,3223048,1
7196136,3373437,9
7648575,3116914,1
7648575,3373437,9
5997575,3116914,1
5997575,3373437,9
3149600,4694237,25
3049588,4468812,1
3084513,4495800,1
5705475,4479925,1
5780087,4479925,5
119062,4468812,1
193675,4495800,1
2816225,4479925,1
2890838,4479925,5
5948362,4468812,1
5983287,4495800,1
5972175,3452812,24-52
6572250,4160837,1
6119812,4160837,1
4337050,3760787,1
119062,6450012,1
193675,4694237,25
6008687,4686300,25
8564563,4479925,1
8564563,4479925,5
5743575,2889250,1
5818187,2889250,5
8564563,2889250,1
8639175,2889250,5
2816225,2889250,1
2890838,2889250,5
8261350,163512,13
