269,1,1
7178195,42171,1
7178195,42171,1
7178195,258818,1
502548,975879,1
655874,1355184,9
655872,1116933,1
655872,1415509,1
774927,1645696,5
655872,5463633,1
655874,3914163,9
655874,5414398,9
655874,3963399,1
978118,4193585,5
863824,4368210,5
774929,4572996,5
951131,4704760,5
790802,4809535,5
913033,4985746,5
1068599,4869862,5
866998,5003212,5
1281311,4411073,5
1219402,4242799,5
1346395,4695238,5
1154321,4706351,5
1217818,4496799,5
1025739,4357099,5
1030502,4411069,5
809851,5003212,5
1449577,4544398,5
174943,27536,1
8612413,159496,13
174945,237215,1
2204841,1116933,1
2204842,3963399,25
2204841,1415509,25
2204841,5463633,25
2204841,1355184,9
5700650,1116933,1
5700650,3963399,25
5700650,1415507,25
5700650,5463633,25
5700650,1355184,9
