0,0,1
119064,854075,1
119064,854075,1
291171,966815,17
2588328,854075,1
2588328,854075,1
2742581,952647,17
5057326,854075,1
5057326,854075,1
5237934,964423,17
119062,230188,1
736600,1727200,24-58
360363,2211388,1
360363,1863725,1
736600,2984500,24-58
369888,3154363,1
1104900,3154363,1
736600,3975100,24-58
1312862,4135437,1
221297,1371419,17
221297,1731915,9
221297,2578100,17
221297,2970496,9
221800,3563937,17
221803,3956334,9
222051,4450736,17
222054,4843131,9
1308100,4851400,24-58
1433512,4959350,1
242888,4959350,1
1406524,5564187,1
242888,5180012,1
242888,5564187,1
1446212,5264150,1
242888,5864225,1
1612900,5864225,1
119064,655289,17
7749,995243,1
2476568,995243,1
4978007,995243,1
3175000,2984500,24-58
2836863,3154363,1
2687638,2578100,17
2687638,2970496,9
2689225,3563937,17
2689226,3956334,9
2689225,4451350,17
2689226,4843745,9
5651500,2984500,24-58
5303837,3154363,1
5151437,2578100,17
5151437,2970496,9
5153025,3563937,17
5153026,3956334,9
5153025,4451350,17
5153026,4843745,9
3784600,4851400,24-58
2728913,5180012,1
3940173,5264150,1
2728913,4959350,1
2728913,5864225,1
4083048,5864225,1
3892548,5564187,1
3892548,4959350,1
2728913,5564187,1
6261100,4851400,24-58
6386512,4959350,1
5184775,4959350,1
5184775,5864225,1
5184775,5564187,1
6359523,5564187,1
5184775,5180012,1
6324600,5264150,1
6550024,5864225,1
3136900,1727200,24-58
2779713,2211388,1
2779713,1863725,1
3219450,1863725,1
5651500,1727200,24-58
5294312,2211388,1
5294312,1863725,1
5651500,3975100,24-58
5775325,4135437,1
3175000,3975100,24-58
3162300,4135437,1
7060018,2734776,25
6560657,1849192,17
2687638,1371419,17
2687638,1731915,9
5151437,1371419,17
5151437,1731915,9
