269,1,1
717550,1027746,1
804862,1456373,17
717550,1035440,17
5526473,402339,17
174945,237215,1
174945,6594536,1
174943,27536,1
174945,6232176,17
736600,2145737,24--4111
7439025,2215587,9
7345363,3276036,9
1954213,2218762,9
5718175,2218762,9
3022600,2218762,9
4365625,2218762,9
7543800,2475937,1
6659563,5639825,1
6791325,5260411,1
6657975,1947299,1
5311775,5639825,1
5443537,5260411,1
5314950,2185424,1
3963987,5639825,1
4095750,5260411,1
3962400,2071124,1
2622550,5639825,1
2747963,5260411,1
2619375,2080649,1
1268412,5639825,1
1400175,5265175,1
1266825,2071124,1
4972050,1491686,1
6550025,1491686,1
2678113,1574236,9
6816725,1490100,1
3108325,1490100,1
5238750,1490100,1
8753474,240036,13
