269,1,1
430017,975879,1
546100,3199968,17
546100,1528329,17
174945,6603693,1
3130550,5003367,1
3022600,3277754,24-58
3530600,3603192,1
3022600,1791854,24-58
3844925,2136343,1
1595437,1475942,9
1595437,4342967,9
1595437,3076143,9
174945,237215,1
174943,27536,1
8710727,240787,13
1595437,1242579,17
3073400,1050492,17
5294312,1242579,17
1595437,1528329,17
1595437,4466792,17
1595437,3199968,17
4362450,1050492,17
4392612,4970029,1
4392612,3577792,1
4392612,2107768,1
5294312,1566429,25
5294312,3131704,25
5294312,4525529,25
