174945,237215,1
7898180,339586,1
8135495,352633,1
681665,3434172,1
-32491,1090521,5
2612607,826673,1
174945,1085959,1
732955,3457231,17
2252189,848641,17
2409407,1085959,1
732955,3908507,25
2680023,3908507,25
317404,816386,17
2680023,3457231,17
4635174,3908507,25
6749798,3821665,25
4612328,841502,1
4235655,848641,17
4378995,1085959,1
4635174,3457231,17
6728877,826673,1
6319613,848639,17
6495546,1085959,1
6749798,3370390,17
8543512,826673,1
8166840,848641,17
8411781,1085959,1
77227,3354976,17
5854639,1126388,9
5507713,816386,17
