119062,230188,1
1238352,5159855,25
1238352,1220304,25
1238352,3942350,25
1238352,2810075,25
1270252,919224,17
136930,1163696,9
136930,2726460,9
136930,3814295,9
136930,5047269,9
5569241,3942350,13
5496671,4658531,1
7265855,3926504,13
7265855,4658531,1
7265855,2810179,13
7265855,3542181,1
5569241,919224,17
7265855,2007643,1
5496669,3542181,1
7265855,1264614,13
5496671,2007643,1
5496671,5891960,1
7265855,5891960,1
7265855,5159855,13
5569072,5151982,13
136930,1251052,1
136930,2810075,1
136930,3942350,1
136930,5151982,1
136930,919224,17
5569241,2810179,13
5569072,1284358,13
119062,6435725,1
