0,0,1
119062,230188,1
345643,1952991,9
345643,2539135,9
345643,3125280,9
345643,3711426,9
345643,4297571,9
334110,4883715,9
2779936,2015231,25
334108,2010380,17
218385,2129184,1
1852476,2116260,17
2779936,2601375,25
334108,2596525,17
218385,2715329,1
1852476,2702405,17
2779936,3187520,25
334108,3182670,17
218385,3301474,1
1852476,3288550,17
1852476,5046983,17
2779936,4945953,25
334108,4941101,17
218385,5059907,1
2779936,1429086,25
1852476,1530116,17
334108,1424234,17
218385,1543040,1
119062,6435725,1
334108,3768814,17
218385,3887620,1
1852476,3874696,17
2779936,3773666,25
334108,4354960,17
218385,4473764,1
1852476,4460840,17
2779936,4359811,25
158748,823755,1
334110,1340340,1
334110,1167302,1
1540305,1340340,1
1540305,860914,1
2806240,1340340,1
2806240,1167985,1
7688826,1340339,1
7688826,1013317,1
526853,5520104,25
7605272,1163927,24-52
8092636,1532227,1
7605272,1799322,24-52
8092636,2167622,1
7599870,2396618,24-52
8087234,2764918,1
7602572,2955812,24-52
8089934,3324112,1
7612775,3545585,24-52
8100138,3913885,1
7612775,4124871,24-52
8100138,4493171,1
7599870,4736546,24-52
8087234,5104846,1
