269,1,1
1328057,1329108,1
1328057,1329108,1
1465715,1427093,1
3914775,2143125,9
3914775,2171699,9
3914775,4162425,9
3914775,2562225,9
3914775,3105150,9
2684463,4794250,5
4316412,4794250,5
4316412,4851400,5
4316412,4794250,5
2684463,4851400,5
2684463,4794250,5
2606675,2157413,9
2436813,2265363,9
2959100,1790700,1
1881188,4840287,1
3016250,4598987,1
2778125,2244725,1
1881188,2438400,1
1881188,2733675,1
3016250,3511550,1
3016250,2711450,1
4649787,4873625,1
4649787,3578225,1
1881188,2143125,1
4705350,2044700,1
3363912,2035175,1
4592637,1790700,1
3097213,5949950,1
4649787,2787650,1
4649787,2297113,1
1881188,3511550,1
2047875,1790700,1
4730750,5949950,1
174945,237215,1
174945,968399,17
174943,27536,1
5748092,2361974,25
8612413,159496,13
