269,1,1
430017,1065798,1
546100,3289886,17
546100,1618248,17
174945,6552480,1
3022600,4739273,24-58
3130550,5093286,1
3022600,3367673,24-58
3530600,3693111,1
3844925,2226261,1
1595437,1565861,9
1595437,4432886,9
1595437,3166061,9
174945,237215,1
174943,27536,1
8710727,240787,13
1595437,1332498,17
3073400,1140411,17
5294312,1332498,17
1595437,1618248,17
1595437,4556711,17
1595437,3289886,17
4362450,1140411,17
4392612,5059948,1
4392612,3667711,1
4392612,2197686,1
5294312,1656347,25
5294312,3221622,25
5294312,4615448,25
