0,0,1
233363,1088102,1
119062,230188,1
350836,1229797,1
2174875,1229797,1
7967661,846711,1
8229600,840361,1
7329486,846711,1
7591425,840361,1
3035300,3689350,1
300038,3689350,1
3673475,5199062,1
300038,2179638,1
4721225,2179638,1
300038,5199062,1
5108575,1747391,25
5108575,1229797,1
5108575,5303430,25
5108575,4879975,25
5108575,3476625,25
119062,6435725,1
350836,1452562,9
2174875,1452562,9
5108575,1452562,9
7499601,20637,1
7499601,20637,1
7499601,233003,1
300038,3366060,9
300038,4501465,9
2046288,1427980,24-58
