119062,230188,1
1238250,685801,1
119062,6080125,17
119062,6435725,1
1435034,3397677,1
1760973,3650427,17
6422799,3650427,17
1435034,835605,1
1760973,965243,17
6266215,1060388,17
1435034,1689629,1
1758261,1819268,17
6425510,1819268,17
1435034,2543653,1
1770975,2796402,17
6505057,2796402,17
4227529,1508318,1
1435034,4251700,1
1760973,4381339,17
6422799,4381339,17
1435034,5105720,1
1760973,5147900,17
6266215,5361282,17
4227529,4924414,1
4281203,5032545,5
4281203,5075263,5
4227529,3216367,1
4281203,3345858,5
4282545,3345858,5
4227529,2362343,1
4281203,2491833,5
4282545,2491833,5
4227529,4070391,1
4286691,4179320,1
4329586,4109803,1
4329586,4232566,1
