0,0,1
4096520,1029099,1
174943,1029099,1
174943,1029099,17
4096520,1029099,17
1020768,5563084,17
241210,1310086,25
4189674,1310086,25
241210,3143649,1
241210,3103960,9
241210,3496073,9
2193947,3927059,1
174945,237215,1
174945,6583022,1
355600,3650060,24-5
1093787,4869260,1
971550,3535760,1
957262,3751660,1
1149350,5097860,1
328613,3554810,1
852487,3778648,1
4189674,3143649,1
4189674,3103960,9
4189674,3496073,9
6249956,3921800,1
174943,27536,1
5118100,4870848,1
4994275,3534173,1
5173662,5099448,1
4351337,3553223,1
174945,237215,1
4468009,3644250,24-5
5069673,3745851,1
4964898,3772839,1
