0,0,1
119062,230188,1
3175,4060218,17
142319,4061517,17
119064,1196672,17
119064,2216966,17
119064,4257552,17
119064,5277844,17
119064,3237258,17
1460500,1117600,24-58
1460500,2146300,24-58
1460500,3175000,24-58
1460500,4203700,24-58
1460500,5194300,24-58
6976087,2263161,25
2974676,647193,17
2974676,1039588,9
4543425,647193,17
4543425,1039588,9
1533525,647193,17
1533525,1039588,9
6100762,647193,17
6100762,1039588,9
119064,647193,17
119064,1039588,9
2984500,1117600,24-58
2887663,1481137,1
2984500,2146300,24-58
3387725,2509838,1
2984500,3175000,24-58
3168650,3529012,1
2984500,4203700,24-58
2959100,4538662,1
2984500,5194300,24-58
3373437,5567362,1
4470400,1117600,24-58
4791075,1481137,1
4470400,2146300,24-58
4967287,2509838,1
4470400,3175000,24-58
5083175,3340100,5
5140325,3340100,5
5083175,3340100,5
4752975,3405187,1
4470400,4203700,24-58
4543425,4538662,1
6032500,1117600,24-58
6026150,1481137,1
6032500,2146300,24-58
6032500,3175000,24-58
6069012,3529012,1
6032500,4203700,24-58
6323012,4538662,1
6032500,5194300,24-58
6546850,5567362,1
2959100,3999258,1
4482305,3999258,1
101810,6318632,1
4470400,5194300,24-58
4478337,5567362,1
4482305,4061517,1
