0,0,1
2680493,2288382,1
119062,230188,1
119062,6435725,1
838200,712787,1
3470275,712787,1
4564062,1697038,1
998537,3397250,1
3470275,2003425,1
4564062,2522538,1
3470275,3394075,1
4564062,3913187,1
3470275,4213225,1
4564062,4732337,1
182562,1976438,9
182562,1749425,1
182562,3814762,9
182562,3587750,1
4883150,1285875,9
5324475,1103312,1
4883150,2343150,9
5324475,2252663,1
4883150,3733800,9
5324475,3563937,1
4883150,4552950,9
5272087,4983162,1
4586427,4482167,1
1762125,938212,9
1828444,712787,1
2549525,1639888,9
2549525,1414462,1
2549525,1665288,1
2549525,1211262,9
2549525,985837,1
2549525,1236662,1
1762125,2343150,9
1828800,2103438,1
1762125,3733800,9
1828800,3497262,1
1762125,4554537,9
1828800,4327525,1
1762125,6010275,9
1828689,5784850,1
1762125,5719762,9
1828689,5494337,1
1762125,5429250,9
1828689,5203825,1
3506787,5341937,1
1828800,3028950,1
3506787,5614987,1
3506787,5913437,1
119062,615950,1
182562,2024063,1
182562,3838575,1
1828800,4818062,1
1752600,4691062,5
2768600,4725987,1
5048250,4213225,1
6142037,4732337,1
6461125,4519612,9
6484937,4248150,1
3160713,2354263,1
6996113,4213225,1
8089900,4732337,1
6484937,4687887,1
6461125,4614862,9
6996113,5246687,1
8089900,5765800,1
7697788,4897437,9
