8545513,6435725,1
0,0,1
100011,4464050,1
100011,2889250,1
3030538,4464050,1
3030538,2889250,1
5929312,4464050,1
5929312,2889250,1
134937,3409950,24-52
735012,4156075,1
282575,4156075,1
3081338,3892550,24-52
3681412,4152900,1
3689350,3789362,1
3228975,4152900,1
3236913,3836987,1
5953125,3627437,24-52
6553200,4154487,1
6100762,4154487,1
5287962,3695700,24-53
5030787,3589337,1
4854575,3881437,1
4854575,3709987,1
5378450,4156075,1
5457825,3589337,1
5429250,3711575,1
8191500,3695700,24-53
8218488,3943350,9
7924800,3592512,1
7748588,3881437,1
7748588,3709987,1
8262938,4173537,1
8342313,3592512,1
8313738,3949700,1
8313738,3792537,1
2328863,3695700,24-53
2355850,3943350,9
2062163,3592512,1
1885950,3881437,1
1885950,3709987,1
2390775,4197350,1
2470150,3592512,1
2441575,3973512,1
2441575,3816350,1
4694237,554037,1
100011,554037,1
100011,1778000,1
100011,1778000,1
174625,1804989,1
174625,1978025,25
174625,877887,25
100011,557212,1
4694237,557212,1
119062,230188,1
3395662,831850,24-5
3214688,1527175,1
3446462,1182687,1
4214812,1163637,1
3932237,1169987,1
7643813,376238,1
7643813,190501,1
7456488,163512,1
7530307,163512,5
7459663,347663,1
7459663,347663,1
4765675,689689,1
2862263,566578,1
174625,689689,1
100011,2876550,1
174625,2903538,1
3030538,2876550,1
3065463,2903538,1
5686425,2889250,1
5761037,2889250,5
5929312,2876550,1
8545513,2889250,1
8620125,2889250,5
4318000,3760787,1
7218363,3760787,1
1401762,3760787,1
1368425,3221038,1
1362075,3373437,9
1814513,3116263,1
1814513,3373437,9
163512,3116263,1
163512,3373437,9
4284662,3221038,1
4278312,3373437,9
4730751,3116263,1
4730751,3373437,9
3079750,3116263,1
3079750,3373437,9
7183438,3221038,1
7177088,3373437,9
7629525,3116263,1
7629525,3373437,9
5978526,3116263,1
5978526,3373437,9
5989637,4694237,25
3130550,4694237,25
3030538,4468812,1
3065463,4495800,1
5686425,4479925,1
5761037,4479925,5
174625,4694237,25
100011,4468812,1
174625,4495800,1
2797175,4479925,1
2797175,4479925,5
1709738,5192712,24-5
1406525,5391150,1
2511425,5673725,1
7161213,4694237,1
7161213,5099050,9
7519988,5192712,24-5
7075486,5951537,1
7926386,5976937,1
7891463,5802312,1
8216900,5854700,1
8042275,5711825,1
8329611,5514975,1
8105775,5135562,1
7666038,5437187,1
7223125,5368925,1
5929312,4468812,1
5964237,4495800,1
8545513,4479925,1
8620125,4479925,5
8261350,163512,13
119062,6402387,1
2749550,2903538,1
5260975,2203450,1
6219825,1135062,1
6219825,1665288,1
7473950,2425700,1
7986713,2203450,1
7473950,2203450,1
5000625,2203450,1
4999037,2208213,9
5026025,2216150,1
5594350,2616200,1
7278688,1246982,1
5513387,1783556,1
7278688,1783557,1
5283201,1246982,1
6446837,2289888,1
6402387,2601913,1
7327900,1645363,1
5654675,1522253,1
5654675,1108789,1
7327900,1108789,1
6038850,2439988,9
6038850,2563813,9
8037513,866775,1
7748588,928687,9
6699250,928687,9
6988175,868362,1
1252537,4694237,1
1252537,5099050,9
