0,0,1
119062,230188,1
119062,930275,17
119062,1280139,9
915988,930275,17
915990,1280139,9
2595097,930275,17
2595099,1280139,9
4274206,930275,17
4274208,1280139,9
5071376,930275,17
5071376,1280139,9
5984940,930275,17
5984940,1280139,9
6898503,930275,17
6898505,1280139,9
7812068,930275,17
7812068,1280139,9
119062,855365,17
119062,1391940,25
916230,1391940,25
2595340,1391940,25
915987,2232025,25
2595563,2232025,25
915988,2190415,9
119062,237615,1
6908248,597734,25
6908248,597734,1
6908248,349080,25
6908248,349080,1
8026313,349080,25
8026313,349080,1
8026313,597734,25
8026313,597734,1
6908248,136558,17
6908251,290447,9
916230,1391940,1
915987,2232025,1
5003800,1308100,24-58
5276850,1568450,1
4203700,1308100,24-58
5918200,1308100,24-58
6191250,1568450,1
6780213,1568450,1
7747000,1308100,24-58
5003800,2146300,24-58
4203700,2146300,24-58
5918200,2146300,24-58
6191250,2411413,1
6780213,2411413,1
7747000,2146300,24-58
