0,0,1
119064,228457,1
117476,6435725,1
224227,229888,1
317502,568326,1
455612,957364,1
1758950,1123563,1
455612,1298575,9
1758950,1298575,9
4095750,1123563,1
5340351,1123563,1
4095750,1298575,9
5340350,1298575,9
455612,1319212,25
1758950,1319212,25
455612,1982789,25
1758950,1982789,25
455612,2560640,25
1758950,2560639,25
455612,3236914,25
1758950,3236913,25
455612,4213226,25
1758950,4213226,25
455612,5348289,25
1758950,5348289,25
4095750,1319212,25
5340351,1319213,1
4095750,1982789,25
5340351,1982789,25
4095750,2560639,25
5340351,2560639,25
4095750,3236913,25
5340351,3236914,25
4095750,4213225,25
5340351,4213226,25
4095750,5348289,25
5340351,5348289,25
455615,1931988,9
331788,947740,1
455615,2492375,9
455615,3197225,9
455615,4176712,9
455615,5300662,9
