119062,230188,1
119062,6435725,1
124010,580957,1
251618,2737752,9
251618,635397,1
249238,841765,1
249238,654021,1
1898385,841765,1
1898385,654021,1
5885126,841765,1
5885126,654021,1
6589486,841765,1
6589486,654021,1
244475,3090809,13
6589486,2767216,25
1898385,2767216,25
5885126,2767216,1
327025,2020279,13
1898385,1969479,25
5885126,1969479,1
6589486,1969479,25
251618,1798031,9
244475,950310,13
1898385,1013155,25
5885126,912210,1
6589486,912210,25
488951,3569594,13
349019,4909970,13
251618,4827472,9
251618,3532985,9
1898385,3581198,25
1898385,4964688,25
6589486,3642905,25
6589486,4990088,25
5885126,3703230,1
5885126,5066288,1
