0,0,1
174945,913206,1
174945,237215,1
263914,975982,17
263914,1486891,1
4356167,2037878,17
4356167,3437054,17
1711480,5197109,17
3059269,5197109,17
263914,5197109,17
6965057,975982,17
6965057,1486891,1
4305922,975982,17
4305922,1486891,1
4305922,1532663,17
5354258,1532663,17
174945,6577797,1
174945,5927478,17
7467048,2037878,17
7467048,3451342,17
4305922,2867580,9
2643188,2639487,9
2643188,1855264,9
1422400,1799700,24-52
430212,4052363,1
430212,3295124,1
3249613,1585388,1
3271837,4922313,1
1927225,4922313,1
1905000,2949050,1
5642550,2037878,17
5642550,3437054,17
7959019,3875497,9
6457043,4263537,1
174943,27536,1
174945,237215,1
